16:21:02.137 [main] WARN  net.opentsdb.tsd.PutDataPointRpc - Unable to parse value to a number: metric=sys.cpu.nice ts=1365465600 value=+INF host=web01
16:21:02.142 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put?details done in 3ms
16:21:02.172 [main] WARN  net.opentsdb.tsd.PutDataPointRpc - Unable to parse value to a number: metric=sys.cpu.nice ts=1365465600 value=-INF host=web01
16:21:02.184 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put?details done in 10ms
16:21:02.214 [main] WARN  net.opentsdb.tsd.PutDataPointRpc - Unable to parse value to a number: metric=sys.cpu.nice ts=1365465600 value=+Infinity host=web01
16:21:02.228 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put?details done in 6ms
16:21:02.242 [main] WARN  net.opentsdb.tsd.PutDataPointRpc - Unable to parse value to a number: metric=sys.cpu.nice ts=1365465600 value=-Infinity host=web01
16:21:02.249 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put?details done in 7ms
16:21:02.271 [main] WARN  net.opentsdb.tsd.PutDataPointRpc - Unable to parse value to a number: metric=sys.cpu.nice ts=1365465600 value=Infinity host=web01
16:21:02.276 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put?details done in 7ms
16:21:02.285 [main] WARN  net.opentsdb.tsd.PutDataPointRpc - Missing tags: metric=sys.cpu.nice ts=1365465600 value=42 
16:21:02.289 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put?details done in 2ms
16:21:02.303 [main] WARN  net.opentsdb.tsd.PutDataPointRpc - Missing tags: metric=sys.cpu.nice ts=1365465600 value=42 
16:21:02.307 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put?details done in 2ms
16:21:02.318 [main] WARN  net.opentsdb.tsd.PutDataPointRpc - Missing tags: metric=sys.cpu.nice ts=1365465600 value=42 
16:21:02.323 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put?details done in 2ms
16:21:02.342 [main] WARN  net.opentsdb.tsd.HttpQuery - [fake channel] Sending an empty result?! buf=EmptyChannelBuffer(ridx=0, widx=0, cap=0)
16:21:02.350 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put done in 6ms
16:21:02.368 [main] WARN  net.opentsdb.tsd.HttpQuery - [fake channel] Sending an empty result?! buf=EmptyChannelBuffer(ridx=0, widx=0, cap=0)
16:21:02.371 [main] INFO  net.opentsdb.tsd.HttpQuery - [fake channel] HTTP /api/put done in 10ms
